"variety","site","yield_1931","yield_1932"
"Glabron","Crookston",38.13333,26.16667
"Glabron","Duluth",29.66667,25.86667
"Glabron","Grand Rapids",29.13333,14.43333
"Glabron","Morris",28.76667,35.13333
"Glabron","University Farm",43.06666,36.8
"Glabron","Waseca",55.2,37.73333
"Manchuria","Crookston",39.93333,32.96667
"Manchuria","Duluth",28.96667,22.56667
"Manchuria","Grand Rapids",32.96667,22.13333
"Manchuria","Morris",27.43334,34.36666
"Manchuria","University Farm",27,26.9
"Manchuria","Waseca",48.86667,33.46667
"No. 457","Crookston",45.66667,34.33333
"No. 457","Duluth",33.6,22.7
"No. 457","Grand Rapids",32.16667,19.46667
"No. 457","Morris",28.7,43.53334
"No. 457","University Farm",43.26667,26.43334
"No. 457","Waseca",58.1,42.2
"No. 462","Crookston",48.56666,30.53333
"No. 462","Duluth",28.1,22.5
"No. 462","Grand Rapids",24.93334,19.9
"No. 462","Morris",30.36667,47
"No. 462","University Farm",36.6,25.56667
"No. 462","Waseca",65.7667,44.7
"No. 475","Crookston",44.1,32.13333
"No. 475","Duluth",33.06666,27.36667
"No. 475","Grand Rapids",19.7,15.23333
"No. 475","Morris",22.6,44.23333
"No. 475","University Farm",24.66667,30
"No. 475","Waseca",46.76667,41.26667
"Peatland","Crookston",41.6,25.23333
"Peatland","Duluth",32,31.36667
"Peatland","Grand Rapids",34.7,26.76667
"Peatland","Morris",29.86667,43.2
"Peatland","University Farm",32.76667,28.06667
"Peatland","Waseca",48.56666,36.03333
"Svansota","Crookston",40.46667,20.63333
"Svansota","Duluth",25.7,22.23333
"Svansota","Grand Rapids",29.66667,16.63333
"Svansota","Morris",25.76667,35.03333
"Svansota","University Farm",35.13333,27.43334
"Svansota","Waseca",47.33333,38.5
"Trebi","Crookston",46.93333,41.83333
"Trebi","Duluth",33.93333,30.6
"Trebi","Grand Rapids",29.76667,20.63333
"Trebi","Morris",43.76667,46.63333
"Trebi","University Farm",36.56666,29.06667
"Trebi","Waseca",63.8333,49.2333
"Velvet","Crookston",41.33333,32.06666
"Velvet","Duluth",26.3,22.46667
"Velvet","Grand Rapids",23.03333,32.23333
"Velvet","Morris",26.13333,38.83333
"Velvet","University Farm",39.9,26.8
"Velvet","Waseca",50.23333,37.4
"Wisconsin No. 38","Crookston",49.86667,35.9
"Wisconsin No. 38","Duluth",31.6,29.33333
"Wisconsin No. 38","Grand Rapids",34.46667,20.66667
"Wisconsin No. 38","Morris",29.46667,47.16667
"Wisconsin No. 38","University Farm",39.3,38
"Wisconsin No. 38","Waseca",58.8,58.16667
